,Ca.ab.,Ca.n.,Myrm,Neso,Procryp,Psej,Pselong,Psfili,Ps53,Pssimp
Ca.ab.,0,3,0,4,8,8,0,1,1,9
Ca.n.,1,0,0,1,1,2,1,1,1,3
Myrm,2,1,0,4,8,5,2,0,3,4
Neso,3,1,0,0,8,8,4,3,5,12
Procryp,4,0,0,2,0,7,4,1,4,3
Psej,2,1,0,2,2,0,1,0,3,6
Pselong,1,1,0,0,1,1,0,2,0,1
Psfili,2,0,0,0,1,2,0,0,1,8
Ps53,8,2,1,3,8,9,2,4,0,8
Pssimp,1,0,2,3,8,12,4,0,2,0
